script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, capacity
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,42,zeros,10
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,950,zeros,10
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,315,zeros,10
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,545,zeros,10
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,178,zeros,10
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,245,zeros,10
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,15,zeros,10
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,481,zeros,10
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,712,zeros,10
pomis2/run,rllab.cartpole,linear,is,max-d2-harmonic,0.4,1.0,False,8,8,zeros,10
